category,Original Text,Confidence,Context,Context,Argument 1,Argument 1,Relation,Relation,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Argument(s) 2,Claim Id
3714,"""A photograph shows a hermit crab using a human skull as a shell.""",0.8817598924294554,A photograph shows,"(3, 21)",A photograph,"(3, 15)",shows a hermit crab using,"((16, 21), 22)",a human skull,"(42, 55)",as a shell,"(56, 66)",,,,,,,,,,,,,,,1684
3715,"""A photograph shows a hermit crab using a human skull as a shell.""",0.9082029466707026,,,A photograph,"(3, 15)",shows,"(16, 21)",a hermit crab,"(22, 35)",,,,,,,,,,,,,,,,,1684
3716,"""Over the course of his career, Democratic Congressman Joe Kennedy has received $348,000 in campaign contributions from the pharmaceutical industry.""",0.9990000128746032,,,Democratic Congressman Joe Kennedy,"(0, 0)",has received,"(0, 0)",$ 348000,,,,,,,,,,,,,,,,,,1685
3717,"""Over the course of his career, Democratic Congressman Joe Kennedy has received $348,000 in campaign contributions from the pharmaceutical industry.""",0.9369269833479348,,,Democratic Congressman Joe Kennedy,"(34, 68)",has received,"(69, 81)","$348,000","(82, 90)",,,,,,,Over the course of his career,"(3, 32)",,,,,in campaign contributions from the pharmaceutical industry,"(91, 149)",,,1685
3723,"""The seven biggest one-day Dow Jones points drops took place during Republican presidencies, showing that Republicans are not ""good for the economy.""""",0.9017692064117712,The seven biggest one - day Dow Jones points drops showing,"(3, 102)",Republicans,"(108, 119)",are,"(120, 123)",not good for the economy,"(124, 150)",,,,,,,,,,,,,,,,,1689
3724,"""The seven biggest one-day Dow Jones points drops took place during Republican presidencies, showing that Republicans are not ""good for the economy.""""",0.9288383965554338,,,The seven biggest one-day Dow Jones points drops,"(3, 51)",showing,"(95, 102)",that Republicans are not good for the economy,"(103, 150)",,,,,,,,,,,,,,,,,1689
3725,"""The seven biggest one-day Dow Jones points drops took place during Republican presidencies, showing that Republicans are not ""good for the economy.""""",0.9647363032085752,,,The seven biggest one-day Dow Jones points drops,"(3, 51)",took,"(52, 56)",place,"(57, 62)",,,,,,,during Republican presidencies,"(63, 93)",,,,,,,,,1689
3727,"""Black Lives Matter leader Marquesha Johnson was sued for embezzling millions of dollars in donations.""",0.9243576131501832,Black Lives,"(3, 14)",Matter leader Marquesha Johnson,"(15, 46)",was sued,"(47, 55)",for embezzling millions of dollars in donations,"(56, 103)",,,,,,,,,,,,,,,,,1691
3728,"""Black Lives Matter leader Marquesha Johnson was sued for embezzling millions of dollars in donations.""",0.5803287615216177,,,Black,"(3, 8)",Lives,"(9, 14)",,,,,,,,,,,,,,,,,,,1691
3729,"""Black Lives Matter leader Marquesha Johnson was sued for embezzling millions of dollars in donations.""",0.9283193121003829,,,Matter leader Marquesha Johnson,"(15, 46)",for embezzling,"(56, 70)",millions of dollars,"(71, 90)",in donations,"(91, 103)",,,,,,,,,,,,,,,1691
3730,"""A Spirit Airlines employee advised a young woman to flushing her emotional support hamster down the toilet in order to board a flight.""",0.8477538091726738,,,a young woman,"(38, 51)",to flushing,"(52, 63)",her emotional support hamster,"(64, 93)",down the toilet,"(94, 109)",,,,,,,,,,,,,,,1692
3731,"""A Spirit Airlines employee advised a young woman to flushing her emotional support hamster down the toilet in order to board a flight.""",0.9302479618414704,,,A Spirit Airlines employee,"(3, 29)",advised,"(30, 37)",a young woman,"(38, 51)",to flushing her emotional support hamster down the toilet in order to board a flight,"(52, 136)",,,,,,,,,,,,,,,1692
3742,"""A series of images show a Tesla vehicle in space.""",0.9474743154665046,,,A series of images,"(3, 21)",show,"(22, 26)",a Tesla vehicle,"(27, 42)",,,,,,,,,,,,,in space,"(43, 51)",,,1697
3745,"""Jay-Z punched a 12-year-old girl after she tried to take his picture.""",0.263652756827333,she tried,"(42, 51)",she,"(42, 45)",tried to take,"((46, 51), (52, 59))",his picture,"(60, 71)",,,,,,,,,,,,,,,,,1701
3746,"""Jay-Z punched a 12-year-old girl after she tried to take his picture.""",0.263652756827333,,,she,"(42, 45)",tried,"(46, 51)",to take his picture,"(52, 71)",,,,,,,,,,,,,,,,,1701
3747,"""Jay-Z punched a 12-year-old girl after she tried to take his picture.""",0.8830422694912541,,,Jay-Z,"(3, 8)",punched,"(9, 16)",a 12-year-old girl,"(17, 35)",,,,,,,after she tried to take his picture,"(36, 71)",,,,,,,,,1701
3753,"""Carjackers place empty plastic bottles in a car wheel wells to facilitate their crimes.""",0.8211012035398638,,,Carjackers,"(3, 13)",place,"(14, 19)",empty plastic bottles,"(20, 41)",in a car wheel wells,"(42, 62)",to facilitate their crimes,"(63, 89)",,,,,,,,,,,,,1704
3754,"""“My Buy America reform passed the Senate with bipartisan support. But when it got to the House, the foreign steel companies bought Washington lobbyists to kill it. [House Speaker] Paul Ryan and [Senate Majority Leader] Mitch McConnell gave them what they wanted, and American workers were left behind again.”""",0.2658392749347332,Senate Majority Leader gave,"(2, 47)",they,"(58, 62)",wanted,"(63, 69)",,,,,,,,,,,,,,,,,,,1705
3755,"""“My Buy America reform passed the Senate with bipartisan support. But when it got to the House, the foreign steel companies bought Washington lobbyists to kill it. [House Speaker] Paul Ryan and [Senate Majority Leader] Mitch McConnell gave them what they wanted, and American workers were left behind again.”""",0.830889828946889,,,Senate Majority Leader,"(2, 24)",gave,"(43, 47)",them,"(48, 52)",what they wanted,"(53, 69)",,,,,,,,,,,,,,,1705
3756,"""“My Buy America reform passed the Senate with bipartisan support. But when it got to the House, the foreign steel companies bought Washington lobbyists to kill it. [House Speaker] Paul Ryan and [Senate Majority Leader] Mitch McConnell gave them what they wanted, and American workers were left behind again.”""",0.2658392749347332,House Speaker ] Paul Ryan gave,"(2, 32)",they,"(43, 47)",wanted,"(48, 54)",,,,,,,,,,,,,,,,,,,1705
3757,"""“My Buy America reform passed the Senate with bipartisan support. But when it got to the House, the foreign steel companies bought Washington lobbyists to kill it. [House Speaker] Paul Ryan and [Senate Majority Leader] Mitch McConnell gave them what they wanted, and American workers were left behind again.”""",0.8758019640489743,,,House Speaker ] Paul Ryan,"(2, 27)",gave,"(28, 32)",them,"(33, 37)",what they wanted,"(38, 54)",,,,,,,,,,,,,,,1705
3758,"""“My Buy America reform passed the Senate with bipartisan support. But when it got to the House, the foreign steel companies bought Washington lobbyists to kill it. [House Speaker] Paul Ryan and [Senate Majority Leader] Mitch McConnell gave them what they wanted, and American workers were left behind again.”""",0.7665350501724939,,,American workers,"(0, 16)",were left,"(17, 26)",behind,"(27, 33)",,,,,,,again,"(34, 39)",,,,,,,,,1705
3759,"""“My Buy America reform passed the Senate with bipartisan support. But when it got to the House, the foreign steel companies bought Washington lobbyists to kill it. [House Speaker] Paul Ryan and [Senate Majority Leader] Mitch McConnell gave them what they wanted, and American workers were left behind again.”""",0.8252256153497312,the foreign steel companies bought,"(27, 61)",the foreign steel companies,"(27, 54)",bought Washington lobbyists to kill,"((55, 61), (62, 82))",it,"(91, 93)",,,,,,,,,,,,,,,,,1705
3760,"""“My Buy America reform passed the Senate with bipartisan support. But when it got to the House, the foreign steel companies bought Washington lobbyists to kill it. [House Speaker] Paul Ryan and [Senate Majority Leader] Mitch McConnell gave them what they wanted, and American workers were left behind again.”""",0.9103043355599056,,,the foreign steel companies,"(27, 54)",bought,"(55, 61)",Washington lobbyists,"(62, 82)",to kill it,"(83, 93)",,,,,when it got to the House,"(0, 24)",,,,,,,,,1705
3761,"""“My Buy America reform passed the Senate with bipartisan support. But when it got to the House, the foreign steel companies bought Washington lobbyists to kill it. [House Speaker] Paul Ryan and [Senate Majority Leader] Mitch McConnell gave them what they wanted, and American workers were left behind again.”""",0.5680679595514976,,,it,"(5, 7)",got,"(8, 11)",to the House,"(12, 24)",,,,,,,,,,,,,,,,,1705
3762,"""“My Buy America reform passed the Senate with bipartisan support. But when it got to the House, the foreign steel companies bought Washington lobbyists to kill it. [House Speaker] Paul Ryan and [Senate Majority Leader] Mitch McConnell gave them what they wanted, and American workers were left behind again.”""",0.7772900140122809,,,My Buy America reform,"(8, 29)",passed,"(30, 36)",the Senate,"(37, 47)",,,,,,,,,,,,,,,,,1705
3763,"""A study showed that dogs could show jealousy if they caught their owners behaving sweetly toward other dogs.""",0.5520449397565844,they caught,"(51, 62)",they,"(51, 55)",caught their owners behaving sweetly,"((56, 62), (63, 75))",toward other dogs,"(93, 110)",,,,,,,,,,,,,,,,,1706
3764,"""A study showed that dogs could show jealousy if they caught their owners behaving sweetly toward other dogs.""",0.4008138313017749,,,they,"(51, 55)",caught,"(56, 62)",their owners,"(63, 75)",behaving sweetly toward other dogs,"(76, 110)",,,,,,,,,,,,,,,1706
3765,"""A study showed that dogs could show jealousy if they caught their owners behaving sweetly toward other dogs.""",0.7770021919271003,A study showed,"(3, 17)",dogs,"(23, 27)",could show,"(28, 38)",jealousy,"(39, 47)",,,,,,,,,,,,,,,,,1706
3766,"""A study showed that dogs could show jealousy if they caught their owners behaving sweetly toward other dogs.""",0.7033733259460497,,,A study,"(3, 10)",showed,"(11, 17)",that dogs could show jealousy if they caught their owners,"(18, 75)",,,,,,,,,,,,,,,,,1706
3770,"""While in college, Attorney General Jeff Sessions was in a rock band whose lyrics and album titles championed the use of marijuana.""",0.3808945036672451,,,Jeff Sessions,"(42, 55)",(is] General (of],"(34, 41)",Attorney,"(25, 33)",,,,,,,,,,,,,,,,,1711
3771,"""While in college, Attorney General Jeff Sessions was in a rock band whose lyrics and album titles championed the use of marijuana.""",0.9125462839307744,,,a rock band,"(63, 74)",championed,"(88, 98)",the use of marijuana,"(99, 119)",,,,,,,,,,,,,,,,,1711
3772,"""While in college, Attorney General Jeff Sessions was in a rock band whose lyrics and album titles championed the use of marijuana.""",0.9731953480424436,,,Attorney General Jeff Sessions,"(25, 55)",was,"(56, 59)",in a rock band,"(60, 74)",,,,,,,While in college,"(6, 22)",,,,,,,,,1711
3777,"""“NASA confirms Earth will experience 15 days of darkness in November 2017.”""",0.9169884650944796,NASA confirms,"(4, 17)",Earth,"(18, 23)",will experience,"(24, 39)",15 days of darkness,"(40, 59)",,,,,,,in November 2017,"(60, 76)",,,,,,,,,1713
3778,"""“NASA confirms Earth will experience 15 days of darkness in November 2017.”""",0.9465676835515958,,,NASA,"(4, 8)",confirms,"(9, 17)",Earth will experience 15 days of darkness in November 2017,"(18, 76)",,,,,,,,,,,,,,,,,1713
3779,"""A ban on smoking in cars when children are present took effect on 30 January 2018.""",0.960441335094944,,,A ban on smoking in cars when children are present,"(3, 53)",took,"(54, 58)",effect,"(59, 65)",,,,,,,on 30 January 2018,"(66, 84)",,,,,,,,,1714
3780,"""A ban on smoking in cars when children are present took effect on 30 January 2018.""",0.7487987465728897,,,children,"(33, 41)",are,"(42, 45)",present,"(46, 53)",,,,,,,,,,,,,,,,,1714
3783,"""Zantac (ranitidine) or similar acid reflux medications cause users to falsely test positive for meth use.""",0.8668367470739037,similar acid reflux medications cause,"(26, 63)",users,"(64, 69)",to falsely test,"(70, 85)",positive,"(86, 94)",for meth use,"(95, 107)",,,,,,,,,,,,,,,1716
3784,"""Zantac (ranitidine) or similar acid reflux medications cause users to falsely test positive for meth use.""",0.8968933196674548,,,similar acid reflux medications,"(26, 57)",cause,"(58, 63)",users to falsely test positive for meth use,"(64, 107)",,,,,,,,,,,,,,,,,1716
3785,"""Zantac (ranitidine) or similar acid reflux medications cause users to falsely test positive for meth use.""",0.5611367476827249,,,meth,"(99, 103)",use,"(104, 107)",,,,,,,,,,,,,,,,,,,1716
3791,"""“We’ve seen the Chinese now say for among the first times that they believe the correct answer has to be a denuclearized peninsula.”""",0.5617411649644959,,,they,"(66, 70)",believe,"(71, 78)",the correct answer has to be a denuclearized peninsula,"(79, 133)",,,,,,,,,,,,,,,,,1718
3792,"""“We’ve seen the Chinese now say for among the first times that they believe the correct answer has to be a denuclearized peninsula.”""",0.9385285330632012,We 've seen,"(4, 14)",the Chinese,"(15, 26)",say,"(31, 34)",,,,,,,,,among the first times,"(39, 60)",now,"(27, 30)",,,,,,,1718
3793,"""“We’ve seen the Chinese now say for among the first times that they believe the correct answer has to be a denuclearized peninsula.”""",0.4425102217565157,,,We,"(4, 6)",'ve seen,"(6, 14)",the Chinese now say for among the first times,"(15, 60)",,,,,,,,,,,,,,,,,1718
3794,"""“We’ve seen the Chinese now say for among the first times that they believe the correct answer has to be a denuclearized peninsula.”""",0.896604430840561,,,the correct answer,"(79, 97)",to be,"(102, 107)",a denuclearized peninsula,"(108, 133)",,,,,,,,,,,,,,,,,1718
3795,"""The Black Panther Party created the Women, Infants, and Children (WIC) program that provides supplemental food assistance to single mothers and their children.""",0.8856213652192657,,,Children ( WIC ) program,"(38, 62)",provides,"(68, 76)",supplemental food assistance,"(77, 105)",to their children,"(106, 123)",,,,,,,,,,,,,,,1719
3796,"""The Black Panther Party created the Women, Infants, and Children (WIC) program that provides supplemental food assistance to single mothers and their children.""",0.9224894355767032,,,The Black Panther Party created Children ( WIC ) program,"(6, 62)",provides,"(68, 76)",supplemental food assistance,"(77, 105)",to single mothers,"(106, 123)",,,,,,,,,,,,,,,1719
3797,"""The Black Panther Party created the Women, Infants, and Children (WIC) program that provides supplemental food assistance to single mothers and their children.""",0.9485479188231728,,,The Black Panther Party,"(6, 29)",created,"(30, 37)",Children ( WIC ) program,"(38, 62)",,,,,,,,,,,,,,,,,1719
3798,"""The Black Panther Party created the Women, Infants, and Children (WIC) program that provides supplemental food assistance to single mothers and their children.""",0.9485479188231728,,,The Black Panther Party,"(6, 29)",created,"(30, 37)",Infants,"(38, 45)",,,,,,,,,,,,,,,,,1719
3799,"""The Black Panther Party created the Women, Infants, and Children (WIC) program that provides supplemental food assistance to single mothers and their children.""",0.9485479188231728,,,The Black Panther Party,"(6, 29)",created,"(30, 37)",the Women,"(38, 47)",,,,,,,,,,,,,,,,,1719
3805,"""Claimed that his administration is “spending a lot of money on the inner cities.”""",0.5351405518802811,,,his administration,"(16, 34)",is spending,"((35, 37), (39, 47))",a lot of money,"(48, 62)",,,,,,,,,,,,,on the inner cities,"(63, 82)",,,1722
3810,"""Rihanna was barred from entering Senegal on the grounds that she was suspected of being part of the Illuminati.""",0.4559239535691468,,,she,"(64, 67)",of being,"(82, 90)",part of the Illuminati,"(91, 113)",,,,,,,,,,,,,,,,,1725
3811,"""Rihanna was barred from entering Senegal on the grounds that she was suspected of being part of the Illuminati.""",0.7876041626923121,,,Rihanna,"(3, 10)",from entering,"(22, 35)",Senegal,"(36, 43)",,,,,,,,,,,,,on the grounds that she was suspected of being part of the Illuminati,"(44, 113)",,,1725
3812,"""Rihanna was barred from entering Senegal on the grounds that she was suspected of being part of the Illuminati.""",0.8143601936577826,,,Rihanna,"(3, 10)",was barred,"(11, 21)",from entering Senegal on the grounds that she was suspected of being part of the Illuminati,"(22, 113)",,,,,,,,,,,,,,,,,1725
3815,"""President Trump has removed white supremacists from the goverment's terror watch list.""",0.9266232318014764,,,President Trump,"(3, 18)",has removed,"(19, 30)",white supremacists,"(31, 49)",from the goverment's terror watch list,"(50, 88)",,,,,,,,,,,,,,,1727
3816,"""On Facebook, Michael Saari wrote that it was ""normal"" for adult men to marry and have sex with pre-pubescent girls.""",0.4122173051533353,Michael Saari wrote,"(20, 39)",it,"(45, 47)",was,"(48, 51)",have sex with pre-pubescent girls,"(54, 87)",,,,,,,,,,,,,,,,,1728
3817,"""On Facebook, Michael Saari wrote that it was ""normal"" for adult men to marry and have sex with pre-pubescent girls.""",0.805569042498078,,,Michael Saari,"(20, 33)",wrote,"(34, 39)",that it was  have sex with pre-pubescent girls,"(40, 87)",,,,,,,,,,,,,On Facebook,"(6, 17)",,,1728
3818,"""On Facebook, Michael Saari wrote that it was ""normal"" for adult men to marry and have sex with pre-pubescent girls.""",0.4122173051533353,Michael Saari wrote,"(20, 39)",it,"(45, 47)",was,"(48, 51)",normal   for adult men to marry,"(56, 89)",,,,,,,,,,,,,,,,,1728
3819,"""On Facebook, Michael Saari wrote that it was ""normal"" for adult men to marry and have sex with pre-pubescent girls.""",0.8691862876304717,,,Michael Saari,"(20, 33)",wrote,"(34, 39)",that it was   normal   for adult men to marry,"(40, 89)",,,,,,,,,,,,,On Facebook,"(6, 17)",,,1728
3820,"""On Facebook, Michael Saari wrote that it was ""normal"" for adult men to marry and have sex with pre-pubescent girls.""",0.7323734373534755,,,adult men,"(71, 80)",to marry,"(81, 89)",,,,,,,,,,,,,,,,,,,1728
3823,"""A Philadelphia Eagles fan stole an ostrich from the zoo and rode it through the streets in celebration of the team's Super Bowl victory.""",0.9387281236502384,,,A Philadelphia Eagles fan,"(6, 31)",stole,"(32, 37)",an ostrich,"(38, 48)",from the zoo,"(49, 61)",,,,,,,,,,,,,,,1731
3830,"""Acclaimed actor Morgan Freeman died in October 2017 at the age of 80.""",0.9485479188231728,,,Acclaimed actor Morgan Freeman,"(3, 33)",died,"(34, 38)",,,,,,,,,in October 2017,"(39, 54)",at the age of 80,"(55, 71)",,,,,,,1734
3832,"""Concerned artificial intelligence researchers hurriedly abandoned an experimental chatbot program after they realized that the bots were inventing their own language.""",0.8018966055903185,they realized,"(107, 120)",the bots,"(126, 134)",were inventing,"(135, 149)",their own language,"(150, 168)",,,,,,,,,,,,,,,,,1736
3833,"""Concerned artificial intelligence researchers hurriedly abandoned an experimental chatbot program after they realized that the bots were inventing their own language.""",0.20264102855492094,,,they,"(107, 111)",realized,"(112, 120)",that the bots were inventing their own language,"(121, 168)",,,,,,,,,,,,,,,,,1736
3834,"""Concerned artificial intelligence researchers hurriedly abandoned an experimental chatbot program after they realized that the bots were inventing their own language.""",0.7822704580827616,,,Concerned artificial intelligence researchers,"(3, 48)",hurriedly abandoned,"(49, 68)",an experimental chatbot program,"(69, 100)",,,,,,,after they realized that the bots were inventing their own language,"(101, 168)",,,,,,,,,1736
3838,"""Dr. Kelli Ward, a former Arizona state senator, “wasted your tax dollars for a town hall on ‘chemtrail’ conspiracy theories.”""",0.4953178616921359,,,Dr. Kelli Ward,"(3, 17)",(is] a former state senator (from],"(36, 49)",Arizona,"(28, 35)",,,,,,,,,,,,,,,,,1740
3839,"""Dr. Kelli Ward, a former Arizona state senator, “wasted your tax dollars for a town hall on ‘chemtrail’ conspiracy theories.”""",0.910993092928534,,,Dr. Kelli Ward,"(3, 17)",wasted,"(52, 58)",your tax dollars,"(59, 75)",for a town hall on 'chemtrail' conspiracy theories,"(76, 126)",,,,,,,,,,,,,,,1740
3841,"""Before Super Bowl XXII in 1988, a reporter asked Washington Redskins quarterback Doug Williams, ""How long have you been a black quarterback?""""",0.3808945036672451,,,Doug Williams,"(84, 97)",(is] asked Redskins quarterback (from],"(63, 83)",Washington,"(52, 62)",,,,,,,,,,,,,,,,,1742
3842,"""Before Super Bowl XXII in 1988, a reporter asked Washington Redskins quarterback Doug Williams, ""How long have you been a black quarterback?""""",0.8932227656055477,,,a reporter,"(35, 45)",asked,"(46, 51)",Washington Redskins quarterback Doug Williams,"(52, 97)",How long have you been a black quarterback,"(101, 143)",,,,,Before Super Bowl XXII in 1988,"(3, 33)",,,,,,,,,1742
3843,"""A video shows a rat washing itself as though it is a human taking a shower.""",0.8018966055903185,A video shows,"(3, 16)",a rat,"(17, 22)",washing,"(23, 30)",itself,"(31, 37)",,,,,,,as though it is a human,"(38, 61)",,,,,,,,,1743
3844,"""A video shows a rat washing itself as though it is a human taking a shower.""",0.8959662380924684,,,A video,"(3, 10)",shows,"(11, 16)",a rat washing itself as though it is a human,"(17, 61)",,,,,,,,,,,,,,,,,1743
3845,"""A video shows a rat washing itself as though it is a human taking a shower.""",0.9030401971054748,,,a human,"(54, 61)",taking,"(62, 68)",a shower,"(69, 77)",,,,,,,,,,,,,,,,,1743
3846,"""A video shows a rat washing itself as though it is a human taking a shower.""",0.5222094630377523,,,it,"(48, 50)",is,"(51, 53)",a human taking a shower,"(54, 77)",,,,,,,,,,,,,,,,,1743
3858,"""Photographs show House Minority Leader Nancy Pelosi scolding a fellow Democrat for standing during the State of the Union.""",0.3808945036672451,,,Nancy Pelosi,"(42, 54)",(is] Leader (of],"(35, 41)",House Minority,"(20, 34)",,,,,,,,,,,,,,,,,1748
3859,"""Photographs show House Minority Leader Nancy Pelosi scolding a fellow Democrat for standing during the State of the Union.""",0.9420591760840088,Photographs show,"(3, 19)",House Minority Leader Nancy Pelosi,"(20, 54)",scolding,"(55, 63)",a fellow Democrat,"(64, 81)",for standing during the State of the Union,"(82, 124)",,,,,,,,,,,,,,,1748
3860,"""Photographs show House Minority Leader Nancy Pelosi scolding a fellow Democrat for standing during the State of the Union.""",0.9454551364749456,,,Photographs,"(3, 14)",show,"(15, 19)",House Minority Leader Nancy Pelosi scolding a fellow Democrat for standing during the State of the Union,"(20, 124)",,,,,,,,,,,,,,,,,1748
3862,"""Sargento cheese was recalled on 9 May 2017 (or in August/September 2017), because it might kill your whole family.""",0.8918717465970578,,,Sargento cheese,"(6, 21)",was recalled,"(22, 34)",because it might kill your whole family,"(66, 105)",,,,,,,in August,"(35, 44)",,,,,,,,,1750
3863,"""Sargento cheese was recalled on 9 May 2017 (or in August/September 2017), because it might kill your whole family.""",0.9929999709129332,,,Sargento cheese,"(0, 0)",was recalled on,"(0, 0)",9 may 2017,,,,,,,,,,,,,,,,,,1750
3864,"""Sargento cheese was recalled on 9 May 2017 (or in August/September 2017), because it might kill your whole family.""",0.30899953469486874,,,it,"(61, 63)",might kill,"(64, 74)",your whole family,"(75, 92)",,,,,,,,,,,,,,,,,1750
3865,"""Sargento cheese was recalled on 9 May 2017 (or in August/September 2017), because it might kill your whole family.""",0.8918717465970578,,,Sargento cheese,"(6, 21)",was recalled,"(22, 34)",because it might kill your whole family,"(53, 92)",,,,,,,on 9 May 2017,"(35, 48)",,,,,,,,,1750
3869,"""The FDA has ruled that homeopathic drugs are now illegal.""",0.7244373565482595,The FDA has ruled,"(3, 20)",homeopathic drugs,"(26, 43)",are,"(44, 47)",illegal,"(52, 59)",,,,,,,now,"(48, 51)",,,,,,,,,1753
3870,"""The FDA has ruled that homeopathic drugs are now illegal.""",0.7869407969341184,,,The FDA,"(3, 10)",has ruled,"(11, 20)",that homeopathic drugs are now illegal,"(21, 59)",,,,,,,,,,,,,,,,,1753
3879,"""Julia Roberts warned Celine Dion that President Donald Trump would ""make Obama's destroyed America great again"" and to leave the U.S. if she didn't like him.""",0.9397001286877048,,,Celine Dion America great,"(27, 52)",to leave,"(67, 75)",the U.S.,"(76, 84)",,,,,,,,,,,,,,,,,1757
3880,"""Julia Roberts warned Celine Dion that President Donald Trump would ""make Obama's destroyed America great again"" and to leave the U.S. if she didn't like him.""",0.9382554258342916,,,Julia Roberts,"(6, 19)",warned,"(20, 26)",Celine Dion America great,"(27, 52)",to leave the U.S.,"(67, 84)",,,,,again,"(53, 58)",,,,,,,,,1757
3881,"""Julia Roberts warned Celine Dion that President Donald Trump would ""make Obama's destroyed America great again"" and to leave the U.S. if she didn't like him.""",0.7741254949563103,Julia Roberts warned President Donald Trump would make,"(6, 81)",Obama 's,"(82, 90)",destroyed,"(91, 100)",,,,,,,,,again,"(101, 106)",,,,,,,,,1757
3882,"""Julia Roberts warned Celine Dion that President Donald Trump would ""make Obama's destroyed America great again"" and to leave the U.S. if she didn't like him.""",0.8937610516172411,Julia Roberts warned,"(6, 26)",President Donald Trump,"(44, 66)",would make,"((67, 72), (77, 81))",Obama 's destroyed again,"(82, 106)",,,,,,,,,,,,,,,,,1757
3883,"""Julia Roberts warned Celine Dion that President Donald Trump would ""make Obama's destroyed America great again"" and to leave the U.S. if she didn't like him.""",0.8726589449333753,,,Julia Roberts,"(6, 19)",warned,"(20, 26)",Celine Dion,"(27, 38)",that President Donald Trump would   make Obama 's destroyed again   and to leave the U.S.,"(39, 132)",,,,,,,,,,,,,,,1757
3884,"""Julia Roberts warned Celine Dion that President Donald Trump would ""make Obama's destroyed America great again"" and to leave the U.S. if she didn't like him.""",0.30899953469486874,,,she,"(136, 139)",did n't like,"(140, 152)",him,"(153, 156)",,,,,,,,,,,,,,,,,1757
3885,"""Julia Roberts warned Celine Dion that President Donald Trump would ""make Obama's destroyed America great again"" and to leave the U.S. if she didn't like him.""",0.9339862216393666,,,President Donald Trump,"(44, 66)",to leave,"(115, 123)",the U.S.,"(124, 132)",,,,,,,,,,,,,,,,,1757
3886,"""In January 2018, technology companies revealed plans to sell a sex robot that can cook and clean by 2019.""",0.8239830255209885,technology companies revealed,"(24, 53)",technology companies,"(24, 44)",revealed to sell,"((45, 53), (60, 67))",a sex robot clean,"(68, 85)",,,,,,,by 2019,"(86, 93)",,,,,,,,,1758
3887,"""In January 2018, technology companies revealed plans to sell a sex robot that can cook and clean by 2019.""",0.9390664945183972,,,technology companies,"(24, 44)",revealed,"(45, 53)",plans to sell a sex robot clean by 2019,"(54, 93)",,,,,,,In January 2018,"(6, 21)",,,,,,,,,1758
3888,"""In January 2018, technology companies revealed plans to sell a sex robot that can cook and clean by 2019.""",0.6309934121308803,technology companies revealed,"(24, 53)",technology companies,"(24, 44)",revealed to sell,"((45, 53), (60, 67))",a sex robot that can cook,"(68, 93)",,,,,,,,,,,,,,,,,1758
3889,"""In January 2018, technology companies revealed plans to sell a sex robot that can cook and clean by 2019.""",0.9390664945183972,,,technology companies,"(24, 44)",revealed,"(45, 53)",plans to sell a sex robot,"(54, 79)",,,,,,,In January 2018,"(6, 21)",,,,,,,,,1758
3890,"""In January 2018, technology companies revealed plans to sell a sex robot that can cook and clean by 2019.""",0.7181452631261411,,,a sex robot,"(68, 79)",can cook,"(85, 93)",,,,,,,,,,,,,,,,,,,1758
3891,"""The train carrying GOP members of Congress to a West Virginia retreat crashed due to a Deep State plot.""",0.9536048282938728,,,The train carrying GOP members of Congress to a West Virginia retreat,"(3, 72)",crashed,"(73, 80)",due to a Deep State plot,"(81, 105)",,,,,,,,,,,,,,,,,1759
3892,"""The train carrying GOP members of Congress to a West Virginia retreat crashed due to a Deep State plot.""",0.9180804252893388,,,The train,"(3, 12)",carrying,"(13, 21)",GOP members of Congress,"(22, 45)",to a West Virginia retreat,"(46, 72)",,,,,,,,,,,,,,,1759
3895,"""Two U.S. senators were charged with trying to impeach President Donald Trump under false pretenses.""",0.9188877554066238,Two U.S. senators with trying,"(3, 45)",Two U.S. senators,"(3, 20)",with trying to impeach,"((34, 45), (46, 56))",President Donald Trump,"(57, 79)",,,,,,,,,,,,,under false pretenses,"(80, 101)",,,1761
3896,"""Two U.S. senators were charged with trying to impeach President Donald Trump under false pretenses.""",0.9188877554066238,,,Two U.S. senators,"(3, 20)",with trying,"(34, 45)",to impeach President Donald Trump under false pretenses,"(46, 101)",,,,,,,,,,,,,,,,,1761
3897,"""Two U.S. senators were charged with trying to impeach President Donald Trump under false pretenses.""",0.9640827750857294,,,Two U.S. senators,"(3, 20)",were charged,"(21, 33)",with trying to impeach President Donald Trump under false pretenses,"(34, 101)",,,,,,,,,,,,,,,,,1761
3898,"""A photograph shows former deputy director of the FBI Andrew McCabe being escorted out of the building by security after he left his position in January 2018.""",0.8585432956272329,A photograph shows,"(3, 21)",former deputy director of the FBI Andrew McCabe,"(22, 69)",being escorted,"(70, 84)",out of the building by security,"(85, 116)",,,,,,,after he left his position in January 2018,"(117, 159)",,,,,,,,,1762
3899,"""A photograph shows former deputy director of the FBI Andrew McCabe being escorted out of the building by security after he left his position in January 2018.""",0.950229236811974,,,A photograph,"(3, 15)",shows,"(16, 21)",former deputy director of the FBI Andrew McCabe being escorted out of the building by security,"(22, 116)",,,,,,,,,,,,,,,,,1762
